rainfall_1h_mm,humidity_percent,temperature_c,wind_speed_kmh,previous_rainfall_mm,rainfall_class
35.168473915183604,56.07546247457468,23.85041045716767,11.598061740399379,33.14120463738056,MODERATE RAINFALL
37.21847180826012,93.36372141130835,21.217143656811825,20.14263824646663,1.3408748747131654,HEAVY RAINFALL
12.025088614198186,76.73027738844459,20.371503575574092,10.550018979525886,29.244799700078545,MODERATE RAINFALL
29.97178143317692,64.47894674774996,28.24971957426272,36.80550963714654,0.29244418551274576,MODERATE RAINFALL
44.320058850804436,85.01999398449375,24.763507231251886,8.685618491906606,43.07458824930515,HEAVY RAINFALL
18.512699981194473,58.98807126534636,21.354029275668495,38.44225775294077,27.1676714115101,MODERATE RAINFALL
44.39205503009091,86.37846682783417,27.50719328036581,43.84397785111294,17.034046974375908,HEAVY RAINFALL
30.362234720027484,90.66440056287878,28.659276533099444,39.05339671336342,25.980846536554292,HEAVY RAINFALL
38.75145099182079,56.97044849719347,23.190575859121655,14.443682434890608,3.5906389615632373,MODERATE RAINFALL
12.80349874985666,59.34306146461835,23.89163044354129,29.33443110336921,16.41744805365379,NORMAL RAINFALL
20.359953191428545,64.00880232317397,23.737689508687588,42.27614727163724,29.16159233609671,MODERATE RAINFALL
33.50220531168435,62.35896187251817,30.20777517130489,9.026307231762921,17.07549487909415,MODERATE RAINFALL
54.42378428501274,82.51998967372599,27.797296412845046,31.43841279256461,37.92833640854143,HEAVY RAINFALL
42.67999513504346,64.84906709445649,20.44940341465653,15.564481066540523,12.048339418906624,HEAVY RAINFALL
11.604056397247955,95.54511771640733,32.26914677061737,15.53114887433455,29.494739938269603,MODERATE RAINFALL
21.759754558336535,94.32554635884337,26.423925936223583,13.389847159416256,11.098237846229255,MODERATE RAINFALL
30.87524737897329,66.29788916648621,28.184203863129568,40.60638399490651,17.973022731317876,MODERATE RAINFALL
12.062641753650583,97.89411707928974,27.133368111470503,5.9091047234731375,2.120236894113056,MODERATE RAINFALL
6.030702169286253,81.98017979323288,31.0891111010815,20.152878572386413,2.8587467768380708,NORMAL RAINFALL
20.989060757859523,97.83321935032416,27.407600831387917,43.75637023738558,38.735086600552414,HEAVY RAINFALL
0.63145620685508,85.99103823248836,29.543945166372048,25.089724207578193,12.007133547864425,NORMAL RAINFALL
35.25289892188945,59.796743464622686,26.08671350936747,21.510119372155877,42.92171673844861,HEAVY RAINFALL
48.17191172080067,66.3257291822969,27.00820558270418,9.68203086279565,41.06825277051692,HEAVY RAINFALL
47.87852134102218,67.83312603229122,28.945292928124072,28.18571909184141,6.877767084733566,HEAVY RAINFALL
41.93809400413332,78.1932982951439,30.900770700827813,24.80520790439263,0.02573532575745774,HEAVY RAINFALL
17.82858313525702,55.83749992259079,33.00738062770464,39.78504074639692,37.424948821253075,MODERATE RAINFALL
16.91327689714638,57.49078215925007,32.29213438885657,42.71882614781374,3.854405343054545,NORMAL RAINFALL
26.729475482413758,57.9761382941405,30.648430313601242,34.93088046020047,5.777615902489326,MODERATE RAINFALL
26.140530795430223,78.64155452028258,23.71079280516083,39.51462076666607,19.041207309039912,MODERATE RAINFALL
11.648901299314513,78.1897318175167,30.219034967259667,10.649495725756925,14.027233108540273,NORMAL RAINFALL
54.73321461634921,82.9447564784965,26.133401174803055,24.255761164530398,5.445188814071957,HEAVY RAINFALL
12.358353536735654,69.53767917234057,28.236322058401267,11.894933501652812,9.909782300320176,NORMAL RAINFALL
3.9046197304967896,82.13742716261424,23.20518497335616,40.9330605592635,38.683593011418594,MODERATE RAINFALL
3.8971542438759394,65.2341992778668,29.36568889614793,11.21218271692886,5.954033192626125,NORMAL RAINFALL
