rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,humidity_percent,temperature_c,wind_speed_kmh,elevation_m,drainage_score,inundation_risk
2.3131103602428027,40.60544810528071,52.120105816909586,75.35141921247985,29.403054697648738,36.096904681177655,250.34769719948437,0.5735313953283435,LOW
1.1494264814608668,24.93081262379008,54.72078708946417,92.50069986039753,27.65777466007408,34.47862404496354,239.86934009102433,0.2997598886419861,MODERATE
51.05251510767833,96.16461439645744,126.23327725057334,59.2126969923607,27.17402484776915,23.32702126752051,425.22094324227265,0.6576343810667875,HIGH
30.40056076881409,62.03430165586876,92.18831651955747,57.15246863281567,20.85694949785375,42.50185540050702,461.8258143873357,0.401735816031601,HIGH
53.325136487355046,82.04903653946823,90.29229333978088,92.65027218906127,28.181278878121265,42.10985214963042,374.22991995103285,0.2299839021122157,HIGH
37.3648597854768,80.64359696982956,152.5566567548355,69.57609950399416,27.404479870926906,32.149671203404196,93.41643620456198,0.8711057552555858,HIGH
46.85191660502943,49.60726527403128,96.91993220764353,71.19429340991888,22.60411184583862,27.99265564996822,533.1075956549828,0.61917435015185,HIGH
6.798112078162781,34.01915831331553,96.34975042619988,97.03006887368235,30.012493581145314,3.777749622923893,531.6721086753794,0.6615821019381797,MODERATE
5.018886189812932,12.012506439986401,18.91073012233842,84.2513570798129,22.15746328262439,36.72117234932999,61.69954218087563,0.6049104713725489,LOW
26.58459913155793,28.673170009923595,28.874727351592227,94.75533082204758,33.67250719363449,7.345752369012427,404.55571279931416,0.9908054926020299,LOW
54.22908327953985,102.90622787354619,129.917509792156,86.56027659344008,26.973558959557145,42.30580088073193,387.25465507817637,0.867132120125068,HIGH
51.43268642584738,72.64040702437416,129.62954815089304,59.089930769654885,22.885313122454434,42.272579252042405,223.75382854272135,0.7322900261351862,HIGH
34.53785258686353,48.85549382784659,95.76139907976842,95.14796551481254,24.582898032447392,16.920868465521814,103.82084842469877,0.3011559066605132,HIGH
